CustomerKey,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,CLV_Tier
20069,430,4,3086.31,4,5,3,453,Loyal,Medium Value
20092,524,2,4190.91,3,2,4,324,Need Attention,Medium Value
20237,418,1,5071.45,4,1,4,414,Need Attention,Top Value
20623,418,3,3760.6800000000003,4,4,3,443,Loyal,Medium Value
20946,835,1,5816.79,2,1,4,214,Lost,Top Value
21203,1555,1,872.4,1,1,2,112,Lost,Low Value
21424,199,2,6951.889999999999,5,2,4,524,Need Attention,Top Value
21460,57,1,3668.88,5,1,3,513,Need Attention,Medium Value
21523,1459,1,10395.99,1,1,5,115,Lost,Top Value
21575,1713,1,429.0,1,1,1,111,Lost,Low Value
21819,726,2,1001.96,2,2,2,222,Lost,Low Value
22540,423,2,22548.08,4,2,5,425,Need Attention,Top Value
23203,430,3,3243.82,4,4,3,443,Loyal,Medium Value
23267,1214,1,1508.99,1,1,2,112,Lost,Low Value
23320,545,1,639.96,3,1,1,311,Need Attention,Low Value
23599,743,1,3853.96,2,1,3,213,Lost,Medium Value
25771,1142,3,2979.9799999999996,1,4,3,143,At Risk,Medium Value
25864,526,3,3206.63,3,4,3,343,Loyal,Medium Value
26477,1229,1,7543.879999999999,1,1,5,115,Lost,Top Value
26642,1758,1,2194.9300000000003,1,1,3,113,Lost,Medium Value
26728,511,1,13096.96,3,1,5,315,Need Attention,Top Value
27356,944,2,1572.33,1,2,2,122,Lost,Low Value
27492,431,3,7054.15,4,4,4,444,Champions,Top Value
27616,715,2,2827.51,2,2,3,223,Lost,Medium Value
27945,1276,1,65.98,1,1,1,111,Lost,Low Value
28690,239,2,905.94,5,2,2,522,Loyal,Low Value
29041,1184,1,4610.0,1,1,4,114,Lost,Medium Value
29278,788,1,158.0,2,1,1,211,Lost,Low Value
29475,456,1,608.64,3,1,1,311,Need Attention,Low Value
29555,32,3,4383.4,5,4,4,544,Champions,Medium Value
29647,828,1,1677.56,2,1,2,212,Lost,Low Value
29689,417,2,12177.99,4,2,5,425,Need Attention,Top Value
29812,957,1,327.83,1,1,1,111,Lost,Low Value
29973,241,2,3179.99,5,2,3,523,Loyal,Medium Value
30090,470,2,1110.96,3,2,2,322,Loyal,Low Value
31086,585,1,369.5,3,1,1,311,Need Attention,Low Value
31164,1381,1,8059.92,1,1,5,115,Lost,Top Value
31236,1471,1,5009.0,1,1,4,114,Lost,Top Value
31784,516,1,1951.93,3,1,2,312,Need Attention,Medium Value
32037,847,2,3240.13,2,2,3,223,Lost,Medium Value
32455,1240,1,4425.0,1,1,4,114,Lost,Medium Value
32488,426,1,32.0,4,1,1,411,Need Attention,Low Value
32511,585,1,16082.82,3,1,5,315,Need Attention,Top Value
32538,288,1,592.0,5,1,1,511,Need Attention,Low Value
33036,899,2,1209.6799999999998,1,2,2,122,Lost,Low Value
33205,377,4,3871.54,4,5,3,453,Loyal,Medium Value
33444,477,3,10384.91,3,4,5,345,Loyal,Top Value
34081,788,4,9588.53,2,5,5,255,At Risk,Top Value
34143,384,1,4726.0,4,1,4,414,Need Attention,Medium Value
34431,946,1,28.0,1,1,1,111,Lost,Low Value
34850,1282,2,2477.96,1,2,3,123,Lost,Medium Value
34915,596,1,56.0,3,1,1,311,Need Attention,Low Value
35257,587,2,120.78999999999999,3,2,1,321,Loyal,Low Value
35703,830,1,715.98,2,1,1,211,Lost,Low Value
35733,236,3,8441.27,5,4,5,545,Champions,Top Value
35795,736,1,8790.72,2,1,5,215,Lost,Top Value
36112,474,2,2939.55,3,2,3,323,Loyal,Medium Value
36336,904,1,1592.2,1,1,2,112,Lost,Low Value
36418,13,1,1026.88,5,1,2,512,Need Attention,Low Value
36507,421,2,5605.5,4,2,4,424,Need Attention,Top Value
37070,472,3,8240.35,3,4,5,345,Loyal,Top Value
37251,1125,1,3779.49,1,1,3,113,Lost,Medium Value
37408,813,1,4562.95,2,1,4,214,Lost,Medium Value
37580,519,1,599.55,3,1,1,311,Need Attention,Low Value
37585,5,1,4032.98,5,1,3,513,Need Attention,Medium Value
37802,761,3,8883.960000000001,2,4,5,245,At Risk,Top Value
37991,466,2,6893.0,3,2,4,324,Need Attention,Top Value
38006,895,1,6.99,1,1,1,111,Lost,Low Value
38036,997,1,1049.8,1,1,2,112,Lost,Low Value
38195,372,3,6548.02,4,4,4,444,Champions,Top Value
38212,450,1,400.99,3,1,1,311,Need Attention,Low Value
38613,717,3,6230.1,2,4,4,244,At Risk,Top Value
39246,1711,1,2154.0,1,1,2,112,Lost,Medium Value
39268,815,1,389.95,2,1,1,211,Lost,Low Value
39314,839,1,453.56,2,1,1,211,Lost,Low Value
39582,820,2,5555.0,2,2,4,224,Lost,Top Value
39592,982,1,2016.93,1,1,2,112,Lost,Medium Value
39894,1839,1,879.92,1,1,2,112,Lost,Low Value
39927,827,1,2080.9700000000003,2,1,2,212,Lost,Medium Value
40363,827,1,5489.15,2,1,4,214,Lost,Top Value
40443,481,1,624.0,3,1,1,311,Need Attention,Low Value
40649,564,2,11007.0,3,2,5,325,Need Attention,Top Value
40669,743,1,4359.0,2,1,4,214,Lost,Medium Value
41281,516,2,630.6800000000001,3,2,1,321,Loyal,Low Value
41570,351,1,8377.97,4,1,5,415,Need Attention,Top Value
42177,1097,1,2557.87,1,1,3,113,Lost,Medium Value
42364,866,2,8609.39,2,2,5,225,Lost,Top Value
42408,517,1,1667.35,3,1,2,312,Need Attention,Low Value
42840,660,1,1496.98,2,1,2,212,Lost,Low Value
42956,480,2,172.99,3,2,1,321,Loyal,Low Value
43784,391,1,2915.94,4,1,3,413,Need Attention,Medium Value
43840,415,3,3593.79,4,4,3,443,Loyal,Medium Value
44493,239,2,1043.45,5,2,2,522,Loyal,Low Value
44728,431,3,12658.83,4,4,5,445,Champions,Top Value
45172,635,1,654.9,2,1,1,211,Lost,Low Value
45250,568,1,4495.0,3,1,4,314,Need Attention,Medium Value
45436,492,3,1026.46,3,4,2,342,Loyal,Low Value
45781,976,1,6.89,1,1,1,111,Lost,Low Value
45814,11,1,2687.9700000000003,5,1,3,513,Need Attention,Medium Value
46155,52,1,62.0,5,1,1,511,Need Attention,Low Value
46917,1559,1,313.99,1,1,1,111,Lost,Low Value
46996,1612,1,29.97,1,1,1,111,Lost,Low Value
47518,997,1,2745.64,1,1,3,113,Lost,Medium Value
48383,39,1,611.52,5,1,1,511,Need Attention,Low Value
48466,597,3,6746.09,3,4,4,344,Loyal,Top Value
48733,904,1,3753.76,1,1,3,113,Lost,Medium Value
49400,367,2,2062.38,4,2,2,422,Loyal,Medium Value
49606,1636,1,1198.0,1,1,2,112,Lost,Low Value
49776,524,2,5856.0,3,2,4,324,Need Attention,Top Value
49950,550,1,7963.99,3,1,5,315,Need Attention,Top Value
50075,1705,1,2272.8500000000004,1,1,3,113,Lost,Medium Value
50681,1702,1,624.0,1,1,1,111,Lost,Low Value
50741,1289,1,25.32,1,1,1,111,Lost,Low Value
51172,472,2,1253.0,3,2,2,322,Loyal,Low Value
51314,731,2,9649.83,2,2,5,225,Lost,Top Value
51718,535,1,3299.99,3,1,3,313,Need Attention,Medium Value
52536,835,1,768.96,2,1,1,211,Lost,Low Value
52694,928,1,4761.57,1,1,4,114,Lost,Medium Value
53318,1460,1,2149.98,1,1,2,112,Lost,Medium Value
53920,1142,2,757.54,1,2,1,121,Lost,Low Value
54089,1501,2,15182.99,1,2,5,125,Lost,Top Value
54161,621,1,462.0,2,1,1,211,Lost,Low Value
54752,578,1,320.0,3,1,1,311,Need Attention,Low Value
54987,852,1,2440.98,2,1,3,213,Lost,Medium Value
55039,627,2,4662.75,2,2,4,224,Lost,Medium Value
55066,500,1,4413.79,3,1,4,314,Need Attention,Medium Value
55084,843,1,3498.8,2,1,3,213,Lost,Medium Value
55411,869,2,1790.48,2,2,2,222,Lost,Medium Value
55914,499,2,791.57,3,2,1,321,Loyal,Low Value
56791,841,1,841.97,2,1,1,211,Lost,Low Value
56834,284,1,25.69,5,1,1,511,Need Attention,Low Value
56999,751,1,854.79,2,1,2,212,Lost,Low Value
57307,450,1,966.6999999999999,3,1,2,312,Need Attention,Low Value
57374,642,1,1800.0,2,1,2,212,Lost,Medium Value
58066,972,2,477.78000000000003,1,2,1,121,Lost,Low Value
58710,658,2,309.28,2,2,1,221,Lost,Low Value
58919,1527,1,2889.99,1,1,3,113,Lost,Medium Value
59159,1,2,7852.53,5,2,5,525,Need Attention,Top Value
59304,1511,1,5851.47,1,1,4,114,Lost,Top Value
59422,552,2,1447.76,3,2,2,322,Loyal,Low Value
59529,1030,1,2838.96,1,1,3,113,Lost,Medium Value
59842,123,1,2497.85,5,1,3,513,Need Attention,Medium Value
59961,537,1,437.94,3,1,1,311,Need Attention,Low Value
60150,1478,1,959.1999999999999,1,1,2,112,Lost,Low Value
60407,1020,1,1405.78,1,1,2,112,Lost,Low Value
60411,748,2,2309.67,2,2,3,223,Lost,Medium Value
60454,1095,1,1989.0,1,1,2,112,Lost,Medium Value
60722,573,1,3313.85,3,1,3,313,Need Attention,Medium Value
60892,178,1,1729.87,5,1,2,512,Need Attention,Medium Value
61718,53,2,4645.14,5,2,4,524,Need Attention,Medium Value
61773,262,3,1805.91,5,4,2,542,Loyal,Medium Value
61881,50,2,2887.16,5,2,3,523,Loyal,Medium Value
61947,498,2,2507.71,3,2,3,323,Loyal,Medium Value
62017,172,1,479.97,5,1,1,511,Need Attention,Low Value
62076,424,1,1199.96,4,1,2,412,Need Attention,Low Value
62125,1129,1,899.95,1,1,2,112,Lost,Low Value
62163,737,3,5496.9400000000005,2,4,4,244,At Risk,Top Value
62416,551,2,1997.94,3,2,2,322,Loyal,Medium Value
62590,40,1,556.0,5,1,1,511,Need Attention,Low Value
63342,389,1,9301.25,4,1,5,415,Need Attention,Top Value
63681,738,1,2916.98,2,1,3,213,Lost,Medium Value
64037,598,1,13.89,3,1,1,311,Need Attention,Low Value
64511,852,2,11205.0,2,2,5,225,Lost,Top Value
64764,471,2,7258.99,3,2,4,324,Need Attention,Top Value
64842,462,1,6934.98,3,1,4,314,Need Attention,Top Value
65163,484,2,229.64000000000001,3,2,1,321,Loyal,Low Value
65180,624,1,11362.4,2,1,5,215,Lost,Top Value
65269,414,4,7731.15,4,5,5,455,Champions,Top Value
65283,718,2,4496.4,2,2,4,224,Lost,Medium Value
65372,54,3,5865.28,5,4,4,544,Champions,Top Value
65507,505,1,379.94,3,1,1,311,Need Attention,Low Value
66352,573,1,899.0,3,1,2,312,Need Attention,Low Value
67066,389,2,8724.84,4,2,5,425,Need Attention,Top Value
67157,352,2,10420.96,4,2,5,425,Need Attention,Top Value
67217,417,2,4502.91,4,2,4,424,Need Attention,Medium Value
67369,408,1,2765.4,4,1,3,413,Need Attention,Medium Value
67455,648,1,5073.0,2,1,4,214,Lost,Top Value
67744,649,1,118.0,2,1,1,211,Lost,Low Value
68082,1094,1,1182.99,1,1,2,112,Lost,Low Value
68537,1268,1,1183.68,1,1,2,112,Lost,Low Value
68882,1139,1,74.97,1,1,1,111,Lost,Low Value
69066,432,1,210.68,4,1,1,411,Need Attention,Low Value
69557,722,1,3359.49,2,1,3,213,Lost,Medium Value
69645,1322,1,199.95,1,1,1,111,Lost,Low Value
69707,592,2,1543.23,3,2,2,322,Loyal,Low Value
69754,23,1,139.0,5,1,1,511,Need Attention,Low Value
69812,577,1,1606.96,3,1,2,312,Need Attention,Low Value
69959,30,3,5509.88,5,4,4,544,Champions,Top Value
70453,725,2,2981.7200000000003,2,2,3,223,Lost,Medium Value
70544,1339,1,84.0,1,1,1,111,Lost,Low Value
70584,449,1,7569.65,3,1,5,315,Need Attention,Top Value
70598,139,1,1360.0,5,1,2,512,Need Attention,Low Value
70912,228,3,27219.2,5,4,5,545,Champions,Top Value
71218,1230,2,14296.89,1,2,5,125,Lost,Top Value
71220,709,1,249.98,2,1,1,211,Lost,Low Value
71282,499,1,444.01,3,1,1,311,Need Attention,Low Value
71333,816,2,14154.279999999999,2,2,5,225,Lost,Top Value
71343,854,1,758.8499999999999,2,1,1,211,Lost,Low Value
71511,600,3,3553.6,3,4,3,343,Loyal,Medium Value
71625,838,2,3991.77,2,2,3,223,Lost,Medium Value
72003,401,2,3213.71,4,2,3,423,Loyal,Medium Value
72194,380,1,76.95,4,1,1,411,Need Attention,Low Value
72812,543,2,9284.86,3,2,5,325,Need Attention,Top Value
72826,585,1,683.95,3,1,1,311,Need Attention,Low Value
73070,754,2,6165.92,2,2,4,224,Lost,Top Value
73636,286,1,204.0,5,1,1,511,Need Attention,Low Value
73704,1448,1,456.99,1,1,1,111,Lost,Low Value
74071,765,2,5982.15,2,2,4,224,Lost,Top Value
74581,1711,1,774.0,1,1,1,111,Lost,Low Value
74585,466,2,4151.98,3,2,4,324,Need Attention,Medium Value
74687,1524,1,2810.0,1,1,3,113,Lost,Medium Value
74845,274,2,879.6500000000001,5,2,2,522,Loyal,Low Value
74871,484,1,3876.0,3,1,3,313,Need Attention,Medium Value
75555,788,2,7109.42,2,2,4,224,Lost,Top Value
75706,390,2,7039.02,4,2,4,424,Need Attention,Top Value
75965,820,2,6425.54,2,2,4,224,Lost,Top Value
75976,1014,1,2352.9300000000003,1,1,3,113,Lost,Medium Value
75991,592,1,1509.8899999999999,3,1,2,312,Need Attention,Low Value
76013,211,2,1387.52,5,2,2,522,Loyal,Low Value
76021,813,3,10817.92,2,4,5,245,At Risk,Top Value
76149,533,1,71.16,3,1,1,311,Need Attention,Low Value
76499,826,1,44.0,2,1,1,211,Lost,Low Value
76560,367,2,8687.4,4,2,5,425,Need Attention,Top Value
76714,830,2,4949.51,2,2,4,224,Lost,Medium Value
76891,59,1,9389.8,5,1,5,515,Need Attention,Top Value
76979,1517,1,549.75,1,1,1,111,Lost,Low Value
77150,356,2,6831.48,4,2,4,424,Need Attention,Top Value
77290,1326,1,399.99,1,1,1,111,Lost,Low Value
77534,945,1,2706.8900000000003,1,1,3,113,Lost,Medium Value
78097,578,2,787.61,3,2,1,321,Loyal,Low Value
78428,176,3,10616.26,5,4,5,545,Champions,Top Value
78578,410,1,540.0,4,1,1,411,Need Attention,Low Value
78616,806,1,336.0,2,1,1,211,Lost,Low Value
79131,1307,2,4287.48,1,2,4,124,Lost,Medium Value
79191,298,1,6758.35,5,1,4,514,Need Attention,Top Value
79245,395,1,3497.0,4,1,3,413,Need Attention,Medium Value
80029,753,1,519.98,2,1,1,211,Lost,Low Value
80128,1450,1,91.56,1,1,1,111,Lost,Low Value
80155,762,2,471.94,2,2,1,221,Lost,Low Value
80172,381,3,11351.95,4,4,5,445,Champions,Top Value
80273,645,1,1845.97,2,1,2,212,Lost,Medium Value
80598,388,1,999.8,4,1,2,412,Need Attention,Low Value
81018,1439,2,20727.46,1,2,5,125,Lost,Top Value
81720,634,2,14782.869999999999,2,2,5,225,Lost,Top Value
82415,198,3,3467.87,5,4,3,543,Loyal,Medium Value
82533,1290,2,409.85,1,2,1,121,Lost,Low Value
82644,249,3,5438.33,5,4,4,544,Champions,Top Value
83643,461,1,604.0,3,1,1,311,Need Attention,Low Value
83651,410,1,737.02,4,1,1,411,Need Attention,Low Value
83690,1622,1,265.98,1,1,1,111,Lost,Low Value
83705,1606,1,3291.88,1,1,3,113,Lost,Medium Value
83985,552,2,3477.5,3,2,3,323,Loyal,Medium Value
84085,460,1,6503.99,3,1,4,314,Need Attention,Top Value
85080,11,1,1152.0,5,1,2,512,Need Attention,Low Value
85124,481,1,299.0,3,1,1,311,Need Attention,Low Value
85265,625,3,1713.8400000000001,2,4,2,242,Lost,Medium Value
85430,724,1,470.0,2,1,1,211,Lost,Low Value
85597,1233,2,5794.93,1,2,4,124,Lost,Top Value
85609,771,2,476.3,2,2,1,221,Lost,Low Value
85804,1016,1,6339.95,1,1,4,114,Lost,Top Value
85861,410,2,236.33,4,2,1,421,Loyal,Low Value
85974,60,3,7581.15,5,4,5,545,Champions,Top Value
86036,372,1,2046.54,4,1,2,412,Need Attention,Medium Value
86126,835,2,4689.83,2,2,4,224,Lost,Medium Value
86267,110,1,3023.0,5,1,3,513,Need Attention,Medium Value
86465,471,2,85.97,3,2,1,321,Loyal,Low Value
86472,603,1,2664.8,3,1,3,313,Need Attention,Medium Value
86475,557,2,4917.72,3,2,4,324,Need Attention,Medium Value
87229,617,1,499.9,2,1,1,211,Lost,Low Value
87690,146,1,1425.04,5,1,2,512,Need Attention,Low Value
87891,773,1,443.37,2,1,1,211,Lost,Low Value
88047,991,1,879.6,1,1,2,112,Lost,Low Value
88785,542,2,2187.98,3,2,3,323,Loyal,Medium Value
88791,1458,1,4064.0,1,1,3,113,Lost,Medium Value
88897,600,2,4086.18,3,2,4,324,Need Attention,Medium Value
89416,594,1,897.0,3,1,2,312,Need Attention,Low Value
89721,962,2,4214.93,1,2,4,124,Lost,Medium Value
89946,620,2,3311.92,2,2,3,223,Lost,Medium Value
90037,785,1,865.98,2,1,2,212,Lost,Low Value
90079,428,3,770.06,4,4,1,441,Loyal,Low Value
90316,423,2,4917.19,4,2,4,424,Need Attention,Medium Value
90893,1143,1,7273.540000000001,1,1,4,114,Lost,Top Value
91218,953,1,118.6,1,1,1,111,Lost,Low Value
91545,835,1,479.97,2,1,1,211,Lost,Low Value
91756,778,1,265.65000000000003,2,1,1,211,Lost,Low Value
91913,603,1,1174.7,3,1,2,312,Need Attention,Low Value
91918,291,2,476.6,5,2,1,521,Loyal,Low Value
92275,1268,1,2249.98,1,1,3,113,Lost,Medium Value
92311,797,1,1608.95,2,1,2,212,Lost,Low Value
92920,893,1,6696.9,1,1,4,114,Lost,Top Value
93314,636,3,10143.55,2,4,5,245,At Risk,Top Value
93339,1450,1,12421.56,1,1,5,115,Lost,Top Value
93389,519,2,149.88,3,2,1,321,Loyal,Low Value
93788,899,1,470.0,1,1,1,111,Lost,Low Value
94554,799,1,5360.92,2,1,4,214,Lost,Top Value
94758,613,2,4150.81,2,2,4,224,Lost,Medium Value
95043,725,2,983.75,2,2,2,222,Lost,Low Value
95275,1093,1,1807.68,1,1,2,112,Lost,Medium Value
96331,57,3,3654.3100000000004,5,4,3,543,Loyal,Medium Value
96631,474,1,232.0,3,1,1,311,Need Attention,Low Value
97219,398,1,349.0,4,1,1,411,Need Attention,Low Value
97228,1759,1,809.96,1,1,1,111,Lost,Low Value
97611,618,4,7042.15,2,5,4,254,At Risk,Top Value
98002,661,3,5283.76,2,4,4,244,At Risk,Top Value
98185,529,1,899.95,3,1,2,312,Need Attention,Low Value
98583,759,1,1832.72,2,1,2,212,Lost,Medium Value
99189,1355,1,276.0,1,1,1,111,Lost,Low Value
99711,578,2,2176.4,3,2,3,323,Loyal,Medium Value
99810,271,2,4993.219999999999,5,2,4,524,Need Attention,Top Value
99988,629,2,7592.9400000000005,2,2,5,225,Lost,Top Value
100040,906,1,4158.0,1,1,4,114,Lost,Medium Value
100092,191,4,9238.699999999999,5,5,5,555,Champions,Top Value
100361,417,1,9.99,4,1,1,411,Need Attention,Low Value
100386,498,1,2240.62,3,1,3,313,Need Attention,Medium Value
101064,666,1,349.39,2,1,1,211,Lost,Low Value
101100,516,1,6565.7,3,1,4,314,Need Attention,Top Value
102466,737,2,1770.99,2,2,2,222,Lost,Medium Value
102503,1367,1,12608.48,1,1,5,115,Lost,Top Value
102817,554,1,673.44,3,1,1,311,Need Attention,Low Value
104456,488,3,4112.67,3,4,4,344,Loyal,Medium Value
104748,404,2,3459.34,4,2,3,423,Loyal,Medium Value
105107,774,1,299.9,2,1,1,211,Lost,Low Value
105126,617,1,947.9200000000001,2,1,2,212,Lost,Low Value
105417,454,1,7479.39,3,1,4,314,Need Attention,Top Value
105595,389,1,3036.9,4,1,3,413,Need Attention,Medium Value
105647,419,6,10318.94,4,5,5,455,Champions,Top Value
106039,589,1,198.0,3,1,1,311,Need Attention,Low Value
106880,1084,2,11398.93,1,2,5,125,Lost,Top Value
107299,1076,1,1294.89,1,1,2,112,Lost,Low Value
108022,115,1,1874.97,5,1,2,512,Need Attention,Medium Value
108311,373,3,7101.17,4,4,4,444,Champions,Top Value
109148,450,2,2533.7,3,2,3,323,Loyal,Medium Value
109580,1093,2,751.98,1,2,1,121,Lost,Low Value
109977,414,1,319.79,4,1,1,411,Need Attention,Low Value
111207,998,1,3030.26,1,1,3,113,Lost,Medium Value
111492,366,2,2926.33,4,2,3,423,Loyal,Medium Value
111568,358,1,5061.96,4,1,4,414,Need Attention,Top Value
112287,341,1,219.98,5,1,1,511,Need Attention,Low Value
112762,804,2,2968.99,2,2,3,223,Lost,Medium Value
113121,380,1,2070.0,4,1,2,412,Need Attention,Medium Value
113244,382,3,6092.53,4,4,4,444,Champions,Top Value
113290,297,1,3034.99,5,1,3,513,Need Attention,Medium Value
113294,379,1,3476.0,4,1,3,413,Need Attention,Medium Value
113448,366,2,5226.820000000001,4,2,4,424,Need Attention,Top Value
113481,856,2,7321.679999999999,2,2,4,224,Lost,Top Value
113635,988,1,722.73,1,1,1,111,Lost,Low Value
113833,414,1,548.97,4,1,1,411,Need Attention,Low Value
114070,620,2,18796.559999999998,2,2,5,225,Lost,Top Value
114201,793,1,653.96,2,1,1,211,Lost,Low Value
114561,514,2,1465.93,3,2,2,322,Loyal,Low Value
114916,792,2,3842.35,2,2,3,223,Lost,Medium Value
114949,46,3,5598.29,5,4,4,544,Champions,Top Value
115168,528,1,206.13,3,1,1,311,Need Attention,Low Value
115335,359,2,14826.55,4,2,5,425,Need Attention,Top Value
115447,358,2,11870.29,4,2,5,425,Need Attention,Top Value
115452,655,1,853.99,2,1,2,212,Lost,Low Value
115902,1151,1,4033.7300000000005,1,1,3,113,Lost,Medium Value
116149,289,4,5156.5,5,5,4,554,Champions,Top Value
116524,57,3,3667.6499999999996,5,4,3,543,Loyal,Medium Value
116571,1149,1,4712.0,1,1,4,114,Lost,Medium Value
116824,613,1,382.32,2,1,1,211,Lost,Low Value
117048,1216,1,877.5,1,1,2,112,Lost,Low Value
117386,1114,1,199.98,1,1,1,111,Lost,Low Value
117496,241,1,1837.92,5,1,2,512,Need Attention,Medium Value
117995,488,1,1140.0,3,1,2,312,Need Attention,Low Value
118271,652,3,14463.82,2,4,5,245,At Risk,Top Value
118451,444,1,2498.0,3,1,3,313,Need Attention,Medium Value
118540,1821,1,5300.93,1,1,4,114,Lost,Top Value
118829,73,3,4023.55,5,4,3,543,Loyal,Medium Value
118902,225,1,110.97,5,1,1,511,Need Attention,Low Value
119085,522,2,7763.8,3,2,5,325,Need Attention,Top Value
119365,717,1,3444.93,2,1,3,213,Lost,Medium Value
120398,761,1,493.0,2,1,1,211,Lost,Low Value
120607,435,1,1823.98,3,1,2,312,Need Attention,Medium Value
120802,735,1,417.58,2,1,1,211,Lost,Low Value
120952,990,1,872.4,1,1,2,112,Lost,Low Value
121324,814,1,194.95000000000002,2,1,1,211,Lost,Low Value
121376,478,1,2916.96,3,1,3,313,Need Attention,Medium Value
121813,738,1,2684.6,2,1,3,213,Lost,Medium Value
121958,1699,2,4940.4,1,2,4,124,Lost,Medium Value
122096,1151,1,1551.93,1,1,2,112,Lost,Low Value
122511,1831,1,1854.92,1,1,2,112,Lost,Medium Value
122533,612,3,13766.89,2,4,5,245,At Risk,Top Value
123266,422,2,1532.8,4,2,2,422,Loyal,Low Value
123353,463,2,2836.96,3,2,3,323,Loyal,Medium Value
